#curie_map:
#  DoOR: http://neuro.uni-konstanz.de/DoOR/content/receptor.php?OR=
#  FBbt: http://purl.obolibrary.org/obo/FBbt_
#  ORCID: https://orcid.org/
#  obo: http://purl.obolibrary.org/obo/
#mapping_set_id: http://purl.obolibrary.org/obo/fbbt/mappings/door.sssom.tsv
#creator_id:
#  - ORCID:0000-0002-1373-1705
#license: https://creativecommons.org/licenses/by/4.0/
#subject_source: obo:fbbt.owl
#mapping_date: 2024-10-17
subject_id	subject_label	predicate_id	object_id	mapping_justification
FBbt:00067049	adult olfactory receptor neuron Or85a	skos:exactMatch	DoOR:ab2B	semapv:ManualMappingCuration
FBbt:00053547	adult olfactory receptor neuron Or85b ab3	skos:exactMatch	DoOR:ab3B	semapv:ManualMappingCuration
FBbt:00067063	adult olfactory receptor neuron Or56a	skos:exactMatch	DoOR:ab4B	semapv:ManualMappingCuration
FBbt:00067054	adult olfactory receptor neuron Or47a	skos:exactMatch	DoOR:ab5B	semapv:ManualMappingCuration
FBbt:00051848	adult olfactory receptor neuron Amt/Rh50 VM6v	skos:broadMatch	DoOR:ac1	semapv:ManualMappingCuration
FBbt:00110010	adult olfactory receptor neuron Ir31a	skos:broadMatch	DoOR:ac1	semapv:ManualMappingCuration
FBbt:00110011	adult olfactory receptor neuron Ir75d ac1	skos:broadMatch	DoOR:ac1	semapv:ManualMappingCuration
FBbt:00110012	adult olfactory receptor neuron Ir92a	skos:broadMatch	DoOR:ac1	semapv:ManualMappingCuration
FBbt:00051848	adult olfactory receptor neuron Amt/Rh50 VM6v	skos:exactMatch	DoOR:ac1A	semapv:ManualMappingCuration
FBbt:00110012	adult olfactory receptor neuron Ir92a	skos:exactMatch	DoOR:ac1B	semapv:ManualMappingCuration
FBbt:00110012	adult olfactory receptor neuron Ir92a	skos:broadMatch	DoOR:ac1BC	semapv:ManualMappingCuration
FBbt:00110013	adult olfactory receptor neuron Ir75a	skos:broadMatch	DoOR:ac2	semapv:ManualMappingCuration
FBbt:00110014	adult olfactory receptor neuron Ir75d ac2	skos:broadMatch	DoOR:ac2	semapv:ManualMappingCuration
FBbt:00110015	adult olfactory receptor neuron Ir41a	skos:broadMatch	DoOR:ac2	semapv:ManualMappingCuration
FBbt:00110013	adult olfactory receptor neuron Ir75a	skos:exactMatch	DoOR:ac2A	semapv:ManualMappingCuration
FBbt:00110014	adult olfactory receptor neuron Ir75d ac2	skos:broadMatch	DoOR:ac2BC	semapv:ManualMappingCuration
FBbt:00110015	adult olfactory receptor neuron Ir41a	skos:broadMatch	DoOR:ac2BC	semapv:ManualMappingCuration
FBbt:00051495	adult olfactory receptor neuron Ir75c	skos:broadMatch	DoOR:ac3_noOr35a	semapv:ManualMappingCuration
FBbt:00110016	adult olfactory receptor neuron Ir75b	skos:broadMatch	DoOR:ac3_noOr35a	semapv:ManualMappingCuration
FBbt:00051495	adult olfactory receptor neuron Ir75c	skos:broadMatch	DoOR:ac3A	semapv:ManualMappingCuration
FBbt:00110016	adult olfactory receptor neuron Ir75b	skos:broadMatch	DoOR:ac3A	semapv:ManualMappingCuration
FBbt:00067039	adult olfactory receptor neuron Or35a	skos:exactMatch	DoOR:ac3B	semapv:ManualMappingCuration
FBbt:00110007	adult olfactory receptor neuron Ir84a	skos:broadMatch	DoOR:ac4	semapv:ManualMappingCuration
FBbt:00110017	adult olfactory receptor neuron Ir75d ac4	skos:broadMatch	DoOR:ac4	semapv:ManualMappingCuration
FBbt:00110018	adult olfactory receptor neuron Ir76a	skos:broadMatch	DoOR:ac4	semapv:ManualMappingCuration
FBbt:00047460	gustatory receptor neuron C6 of the terminal organ distal group	skos:relatedMatch	DoOR:Gr21a.Gr63a	semapv:ManualMappingCuration
FBbt:00067064	adult olfactory receptor neuron Gr21a/63a	skos:exactMatch	DoOR:Gr21a.Gr63a	semapv:ManualMappingCuration
FBbt:00110010	adult olfactory receptor neuron Ir31a	skos:exactMatch	DoOR:Ir31a	semapv:ManualMappingCuration
FBbt:00047226	adult hygrosensory neuron Ir40a VP1d	skos:exactMatch	DoOR:Ir40a.VP1	semapv:ManualMappingCuration
FBbt:00049657	adult hygrosensory neuron Ir40a VP4 chamber I	skos:exactMatch	DoOR:Ir40a.VP4	semapv:ManualMappingCuration
FBbt:00110015	adult olfactory receptor neuron Ir41a	skos:exactMatch	DoOR:Ir41a	semapv:ManualMappingCuration
FBbt:00111210	adult olfactory receptor neuron Ir64a DC4	skos:exactMatch	DoOR:Ir64a.DC4	semapv:ManualMappingCuration
FBbt:00111212	adult olfactory receptor neuron Ir64a DP1m	skos:exactMatch	DoOR:Ir64a.DP1m	semapv:ManualMappingCuration
FBbt:00110013	adult olfactory receptor neuron Ir75a	skos:exactMatch	DoOR:Ir75a	semapv:ManualMappingCuration
FBbt:00110016	adult olfactory receptor neuron Ir75b	skos:exactMatch	DoOR:Ir75b	semapv:ManualMappingCuration
FBbt:00051495	adult olfactory receptor neuron Ir75c	skos:exactMatch	DoOR:Ir75c	semapv:ManualMappingCuration
FBbt:00047054	adult olfactory receptor neuron Ir75d	skos:exactMatch	DoOR:Ir75d	semapv:ManualMappingCuration
FBbt:00110018	adult olfactory receptor neuron Ir76a	skos:exactMatch	DoOR:Ir76a	semapv:ManualMappingCuration
FBbt:00110007	adult olfactory receptor neuron Ir84a	skos:exactMatch	DoOR:Ir84a	semapv:ManualMappingCuration
