#curie_map:
#  FBbt: http://purl.obolibrary.org/obo/FBbt_
#  ORCID: https://orcid.org/
#  larvalbrain_axon_tract: http://www.larvalbrain.org/#/browse/axontract/
#  larvalbrain_neuropil: http://www.larvalbrain.org/#/browse/neuropil/
#  obo: http://purl.obolibrary.org/obo/
#mapping_set_id: http://purl.obolibrary.org/obo/fbbt/mappings/larvalbrain.sssom.tsv
#creator_id:
#  - ORCID:0000-0002-1373-1705
#license: https://creativecommons.org/licenses/by/4.0/
#subject_source: obo:fbbt.owl
#mapping_date: 2024-07-11
subject_id	subject_label	predicate_id	object_id	mapping_justification
FBbt:00001107	larval thoracic 1 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:40	semapv:ManualMappingCuration
FBbt:00001108	larval thoracic 2 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:41	semapv:ManualMappingCuration
FBbt:00001109	larval thoracic 3 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:42	semapv:ManualMappingCuration
FBbt:00001111	larval abdominal 1 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:29	semapv:ManualMappingCuration
FBbt:00001112	larval abdominal 2 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:30	semapv:ManualMappingCuration
FBbt:00001113	larval abdominal 3 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:31	semapv:ManualMappingCuration
FBbt:00001114	larval abdominal 4 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:32	semapv:ManualMappingCuration
FBbt:00001115	larval abdominal 5 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:33	semapv:ManualMappingCuration
FBbt:00001116	larval abdominal 6 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:34	semapv:ManualMappingCuration
FBbt:00001117	larval abdominal 7 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:35	semapv:ManualMappingCuration
FBbt:00001118	larval abdominal 8 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:36	semapv:ManualMappingCuration
FBbt:00001119	larval abdominal 9 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:37	semapv:ManualMappingCuration
FBbt:00001122	larval thoracic 1 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:81	semapv:ManualMappingCuration
FBbt:00001123	larval thoracic 2 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:82	semapv:ManualMappingCuration
FBbt:00001124	larval thoracic 3 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:83	semapv:ManualMappingCuration
FBbt:00001126	larval abdominal 1 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:70	semapv:ManualMappingCuration
FBbt:00001127	larval abdominal 2 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:71	semapv:ManualMappingCuration
FBbt:00001128	larval abdominal 3 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:72	semapv:ManualMappingCuration
FBbt:00001129	larval abdominal 4 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:73	semapv:ManualMappingCuration
FBbt:00001130	larval abdominal 5 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:74	semapv:ManualMappingCuration
FBbt:00001131	larval abdominal 6 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:75	semapv:ManualMappingCuration
FBbt:00001132	larval abdominal 7 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:76	semapv:ManualMappingCuration
FBbt:00001133	larval abdominal 8 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:77	semapv:ManualMappingCuration
FBbt:00001925	larval protocerebrum	skos:narrowMatch	larvalbrain_neuropil:392	semapv:ManualMappingCuration
FBbt:00001925	larval protocerebrum	skos:narrowMatch	larvalbrain_neuropil:570	semapv:ManualMappingCuration
FBbt:00001930	embryonic/larval optic lobe	skos:narrowMatch	larvalbrain_neuropil:391	semapv:ManualMappingCuration
FBbt:00001930	embryonic/larval optic lobe	skos:narrowMatch	larvalbrain_neuropil:569	semapv:ManualMappingCuration
FBbt:00001939	lamina anlage	skos:narrowMatch	larvalbrain_neuropil:376	semapv:ManualMappingCuration
FBbt:00001939	lamina anlage	skos:narrowMatch	larvalbrain_neuropil:554	semapv:ManualMappingCuration
FBbt:00001944	lobula anlage	skos:narrowMatch	larvalbrain_neuropil:378	semapv:ManualMappingCuration
