yes_no_approx	larvalbrain_Name	FBbt_id	FBbt_Name	notes
	A1 0		
	A1 12		
	A1 17_18		
	A1 19_23		
	A1 3 intermedio-central		
	A1 6		
	A1 7		
	A1 9		
	BAl1_2		
	BAl3_4		
	BAlc to antennal lobe tract		
	BAlc to longitudinal ventral intermediate fascicle		
	BAlp1	http://purl.obolibrary.org/obo/FBbt_00100662	BAlp1 lineage neuron
	BAlp1	http://purl.obolibrary.org/obo/FBbt_00100563	neuroblast BAlp1
	BAlp2_3		
	BAlp4	http://purl.obolibrary.org/obo/FBbt_00050038	neuroblast ALlv1
	BAlp4	http://purl.obolibrary.org/obo/FBbt_00050039	adult ALlv1 lineage clone
	BAlp4	http://purl.obolibrary.org/obo/FBbt_00050040	adult ALlv1 lineage neuron
	BAlv	http://purl.obolibrary.org/obo/FBbt_00100665	Balv lineage neuron
	BAlv	http://purl.obolibrary.org/obo/FBbt_00100566	neuroblast BAlv
	BAmas1_2		
	BAmd1 dorsal		
	BAmd1 ventral		
	BAmd2	http://purl.obolibrary.org/obo/FBbt_00100735	neuroblast BAmd2
	BAmd2	http://purl.obolibrary.org/obo/FBbt_00100736	BAmd2 neuron
	BAmv1_2		
	BAmv3	http://purl.obolibrary.org/obo/FBbt_00050095	adult ALad1 lineage clone
	BAmv3	http://purl.obolibrary.org/obo/FBbt_00050096	adult ALad1 lineage neuron
	BAmv3	http://purl.obolibrary.org/obo/FBbt_00100654	BAmv3 lineage neuron
	BAmv3	http://purl.obolibrary.org/obo/FBbt_00067346	neuroblast ALad1
	BLAd1-4 lateral		
	BLAd1-4 medial		
	BLAl anterior		
	BLAl posterior		
	BLAv1 medial		
	BLAv1 posterior		
	BLAv2 medial		
	BLAv2 posterior		
	BLAvm medial		
	BLAvm posterior		
	BLD1 descending		
	BLD1 to transverse superior intermediate fascicle		
	BLD2_3 lateral		
	BLD2_3 medial		
	BLD4 descending		
	BLD4 to transverse superior intermediate fascicle		
	BLD5 distal		
	BLD5 proximal		
	BLD6 distal		
	BLD6 proximal		
	BLP1_2		
	BLP3_4		
	BLVa1_2		
	BLVa3_4		
	BLVp1 dorsal		
	BLVp1 ventral		
	BLVp2 dorsal		
	BLVp2 ventral		
	Baso-anterior		
	Baso-anterior lateral		
	Baso-anterior latero-central		
	Baso-anterior latero-posterior		
	Baso-anterior latero-ventral		
	Baso-anterior medio-antero-superior		
	Baso-anterior medio-dorsal		
	Baso-anterior medio-ventral		
	Baso-lateral anterior		
	Baso-lateral anterior dorsal		
	Baso-lateral anterior lateral		
	Baso-lateral anterior ventral		
	Baso-lateral anterior ventro-medial		
	Baso-lateral dorsal		
	Baso-lateral posterior		
	Baso-lateral ventral		
	Baso-lateral ventral anterior		
	Baso-lateral ventral posterior		
	CM1 dorsal		
	CM1 ventral		
	CM3 dorsal		
	CM3 ventral		
	CM4 longitudinal superior medial fascicle		
	CM4 longitudinal ventroposterior fascicle		
	CM4 medial equatorial fascicle		
	CM5	http://purl.obolibrary.org/obo/FBbt_00100670	CM5 lineage neuron
	CM5	http://purl.obolibrary.org/obo/FBbt_00100571	neuroblast CM5
	CP1 dorsal		
	CP1 ventral		
	CP2_3 dorsal		
	CP2_3 ventral		
	Centro-medial		
	Centro-posterior	http://purl.obolibrary.org/obo/FBbt_00007125	centro-posterior intermediate synaptic neuropil domain
	Centro-posterior	http://purl.obolibrary.org/obo/FBbt_00007069	centro-posterior lateral synaptic neuropil domain
	Centro-posterior	http://purl.obolibrary.org/obo/FBbt_00007067	embryonic/larval lateral accessory lobe
	Centro-posterior	http://purl.obolibrary.org/obo/FBbt_00007064	embryonic/larval superior lateral protocerebrum
	Centro-posterior	http://purl.obolibrary.org/obo/FBbt_00007070	embryonic/larval posterior inferior protocerebrum
	Centro-posterior	http://purl.obolibrary.org/obo/FBbt_00111204	embryonic/larval clamp
	Centro-posterior	http://purl.obolibrary.org/obo/FBbt_00007723	embryonic/larval posterior lateral protocerebrum
	DALI1		
	DALcl1_2 dorsal		
	DALcl1_2 ventral		
	DALcm1_2 medial		
	DALcm1_2 ventral		
	DALd	http://purl.obolibrary.org/obo/FBbt_00100650	DALd1 lineage neuron
	DALd	http://purl.obolibrary.org/obo/FBbt_00100550	neuroblast DALd1
	DALv1	http://purl.obolibrary.org/obo/FBbt_00100642	DALv1 lineage neuron
	DALv1	http://purl.obolibrary.org/obo/FBbt_00100543	neuroblast DALv1
	DALv2_3		
	DAMd1	http://purl.obolibrary.org/obo/FBbt_00100639	DAMd1 lineage neuron
	DAMd1	http://purl.obolibrary.org/obo/FBbt_00100540	neuroblast DAMd1
	DAMd2_3		
	DAMv1_2		
	DPLI1		
	DPLal1-3		
	DPLam	http://purl.obolibrary.org/obo/FBbt_00100688	DPLam lineage neuron
	DPLam	http://purl.obolibrary.org/obo/FBbt_00100590	neuroblast DPLam
	DPLc1_2		
	DPLc3_4		
	DPLc5 anterior		
	DPLc5 posterior		
	DPLd	http://purl.obolibrary.org/obo/FBbt_00100692	DPLd lineage neuron
	DPLd	http://purl.obolibrary.org/obo/FBbt_00100594	neuroblast DPLd
	DPLl2_3 dorsal		
	DPLl2_3 ventral		
	DPLm1_2		
	DPLp1_2 dorsal		
	DPLp1_2 posterior oblique fascicle		
	DPLpv		
	DPMl1_2		
	DPMm1	http://purl.obolibrary.org/obo/FBbt_00050019	adult DM1 lineage clone
	DPMm1	http://purl.obolibrary.org/obo/FBbt_00050018	neuroblast DM1
	DPMm1	http://purl.obolibrary.org/obo/FBbt_00100681	DPMm1 lineage neuron
	DPMm1	http://purl.obolibrary.org/obo/FBbt_00100583	neuroblast DPMm1
	DPMm2	http://purl.obolibrary.org/obo/FBbt_00100682	DPMm2 lineage neuron
	DPMm2	http://purl.obolibrary.org/obo/FBbt_00100584	neuroblast DPMm2
	DPMpl1_2		
	DPMpm1	http://purl.obolibrary.org/obo/FBbt_00050121	neuroblast DM2
	DPMpm1	http://purl.obolibrary.org/obo/FBbt_00050122	adult DM2 lineage clone
	DPMpm1	http://purl.obolibrary.org/obo/FBbt_00100679	DPMpm1 lineage neuron
	DPMpm1	http://purl.obolibrary.org/obo/FBbt_00100581	neuroblast DPMpm1
	DPMpm2 longitudinal superior medial fascicle		
	DPMpm2 primordium of fan-shaped body		
	Dorso-anterior lateral		
	Dorso-anterior lateral centro-lateral		
	Dorso-anterior lateral centro-medial		
